location_id,location,location_name,year,age_group_id,age_group,age_start,age_end,sex_id,sex,unit,metric,measure,mean,lower,upper
160,AFG,Afghanistan,2013,38,"20+ yrs, age-standardized",20,100,3,both,pct,overweight,prevalence,0.459,0.442,0.477
168,AGO,Angola,2013,38,"20+ yrs, age-standardized",20,100,3,both,pct,overweight,prevalence,0.462,0.442,0.481
43,ALB,Albania,2013,38,"20+ yrs, age-standardized",20,100,3,both,pct,overweight,prevalence,0.51,0.492,0.528
74,AND,Andorra,2013,38,"20+ yrs, age-standardized",20,100,3,both,pct,overweight,prevalence,0.354,0.337,0.372
156,ARE,United Arab Emirates,2013,38,"20+ yrs, age-standardized",20,100,3,both,pct,overweight,prevalence,0.647,0.627,0.667
97,ARG,Argentina,2013,38,"20+ yrs, age-standardized",20,100,3,both,pct,overweight,prevalence,0.521,0.5,0.542
33,ARM,Armenia,2013,38,"20+ yrs, age-standardized",20,100,3,both,pct,overweight,prevalence,0.53,0.511,0.547
105,ATG,Antigua and Barbuda,2013,38,"20+ yrs, age-standardized",20,100,3,both,pct,overweight,prevalence,0.428,0.408,0.45
71,AUS,Australia,2013,38,"20+ yrs, age-standardized",20,100,3,both,pct,overweight,prevalence,0.621,0.602,0.64
75,AUT,Austria,2013,38,"20+ yrs, age-standardized",20,100,3,both,pct,overweight,prevalence,0.512,0.493,0.53
34,AZE,Azerbaijan,2013,38,"20+ yrs, age-standardized",20,100,3,both,pct,overweight,prevalence,0.634,0.617,0.651
175,BDI,Burundi,2013,38,"20+ yrs, age-standardized",20,100,3,both,pct,overweight,prevalence,0.165,0.154,0.177
76,BEL,Belgium,2013,38,"20+ yrs, age-standardized",20,100,3,both,pct,overweight,prevalence,0.526,0.506,0.545
200,BEN,Benin,2013,38,"20+ yrs, age-standardized",20,100,3,both,pct,overweight,prevalence,0.202,0.189,0.215
201,BFA,Burkina Faso,2013,38,"20+ yrs, age-standardized",20,100,3,both,pct,overweight,prevalence,0.227,0.213,0.241
161,BGD,Bangladesh,2013,38,"20+ yrs, age-standardized",20,100,3,both,pct,overweight,prevalence,0.169,0.16,0.179
45,BGR,Bulgaria,2013,38,"20+ yrs, age-standardized",20,100,3,both,pct,overweight,prevalence,0.543,0.524,0.562
140,BHR,Bahrain,2013,38,"20+ yrs, age-standardized",20,100,3,both,pct,overweight,prevalence,0.711,0.693,0.729
106,BHS,The Bahamas,2013,38,"20+ yrs, age-standardized",20,100,3,both,pct,overweight,prevalence,0.576,0.556,0.595
44,BIH,Bosnia and Herzegovina,2013,38,"20+ yrs, age-standardized",20,100,3,both,pct,overweight,prevalence,0.546,0.527,0.566
